id,org:resource,concept:name,time:timestamp,org:role,case:Rfp_id,case:Permit travel permit number,case:Task,case:OrganizationalEntity,case:RequestedAmount,case:Activity,case:Permit TaskNumber,case:Permit BudgetNumber,case:Permit ProjectNumber,case:Project,case:concept:name,case:Permit OrganizationalEntity,case:Permit RequestedBudget,case:Cost Type,case:Permit id,case:Permit ActivityNumber,case:RfpNumber
rp_request for payment 46427_15,SYSTEM,Request Payment,2018-07-26 12:29:04+00:00,UNDEFINED,request for payment 46427,travel permit number 46422,task 46426,organizational unit 65462,76.11756945621502,activity 505,task 427,budget 962,project 46423,project 503,request for payment 46427,organizational unit 65459,1268.6261576035836,0,travel permit 46421,UNKNOWN,request for payment number 46428
rp_request for payment 46427_16,SYSTEM,Payment Handled,2018-07-31 17:30:58+00:00,UNDEFINED,request for payment 46427,travel permit number 46422,task 46426,organizational unit 65462,76.11756945621502,activity 505,task 427,budget 962,project 46423,project 503,request for payment 46427,organizational unit 65459,1268.6261576035836,0,travel permit 46421,UNKNOWN,request for payment number 46428
st_step 37943_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-05-15 15:32:31+00:00,EMPLOYEE,request for payment 37938,travel permit number 37937,UNKNOWN,organizational unit 65466,512.4392851488358,UNKNOWN,UNKNOWN,budget 9699,UNKNOWN,project 503,request for payment 37938,organizational unit 65470,639.0276121214697,0,travel permit 37936,activity 2401,request for payment number 37939
st_step 37942_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-05-15 15:32:35+00:00,ADMINISTRATION,request for payment 37938,travel permit number 37937,UNKNOWN,organizational unit 65466,512.4392851488358,UNKNOWN,UNKNOWN,budget 9699,UNKNOWN,project 503,request for payment 37938,organizational unit 65470,639.0276121214697,0,travel permit 37936,activity 2401,request for payment number 37939
st_step 37944_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-05-16 09:21:53+00:00,BUDGET OWNER,request for payment 37938,travel permit number 37937,UNKNOWN,organizational unit 65466,512.4392851488358,UNKNOWN,UNKNOWN,budget 9699,UNKNOWN,project 503,request for payment 37938,organizational unit 65470,639.0276121214697,0,travel permit 37936,activity 2401,request for payment number 37939
st_step 37945_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-05-17 09:39:50+00:00,SUPERVISOR,request for payment 37938,travel permit number 37937,UNKNOWN,organizational unit 65466,512.4392851488358,UNKNOWN,UNKNOWN,budget 9699,UNKNOWN,project 503,request for payment 37938,organizational unit 65470,639.0276121214697,0,travel permit 37936,activity 2401,request for payment number 37939
st_step 37948_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-05-28 12:06:06+00:00,EMPLOYEE,request for payment 37938,travel permit number 37937,UNKNOWN,organizational unit 65466,512.4392851488358,UNKNOWN,UNKNOWN,budget 9699,UNKNOWN,project 503,request for payment 37938,organizational unit 65470,639.0276121214697,0,travel permit 37936,activity 2401,request for payment number 37939
st_step 37947_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-05-28 12:06:46+00:00,ADMINISTRATION,request for payment 37938,travel permit number 37937,UNKNOWN,organizational unit 65466,512.4392851488358,UNKNOWN,UNKNOWN,budget 9699,UNKNOWN,project 503,request for payment 37938,organizational unit 65470,639.0276121214697,0,travel permit 37936,activity 2401,request for payment number 37939
st_step 37946_0,STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018-05-29 09:44:37+00:00,BUDGET OWNER,request for payment 37938,travel permit number 37937,UNKNOWN,organizational unit 65466,512.4392851488358,UNKNOWN,UNKNOWN,budget 9699,UNKNOWN,project 503,request for payment 37938,organizational unit 65470,639.0276121214697,0,travel permit 37936,activity 2401,request for payment number 37939
st_step 37949_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-05-29 12:34:52+00:00,SUPERVISOR,request for payment 37938,travel permit number 37937,UNKNOWN,organizational unit 65466,512.4392851488358,UNKNOWN,UNKNOWN,budget 9699,UNKNOWN,project 503,request for payment 37938,organizational unit 65470,639.0276121214697,0,travel permit 37936,activity 2401,request for payment number 37939
rp_request for payment 37938_15,SYSTEM,Request Payment,2018-05-30 08:38:30+00:00,UNDEFINED,request for payment 37938,travel permit number 37937,UNKNOWN,organizational unit 65466,512.4392851488358,UNKNOWN,UNKNOWN,budget 9699,UNKNOWN,project 503,request for payment 37938,organizational unit 65470,639.0276121214697,0,travel permit 37936,activity 2401,request for payment number 37939
rp_request for payment 37938_16,SYSTEM,Payment Handled,2018-05-31 17:31:14+00:00,UNDEFINED,request for payment 37938,travel permit number 37937,UNKNOWN,organizational unit 65466,512.4392851488358,UNKNOWN,UNKNOWN,budget 9699,UNKNOWN,project 503,request for payment 37938,organizational unit 65470,639.0276121214697,0,travel permit 37936,activity 2401,request for payment number 37939
st_step 21195_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-05-15 20:54:16+00:00,EMPLOYEE,request for payment 21187,travel permit number 21186,task 21189,organizational unit 65475,178.01697575939528,activity 505,task 427,budget 980,project 11292,project 503,request for payment 21187,organizational unit 65456,1644.394098116448,0,travel permit 21185,UNKNOWN,request for payment number 21188
st_step 21194_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-05-15 20:54:22+00:00,ADMINISTRATION,request for payment 21187,travel permit number 21186,task 21189,organizational unit 65475,178.01697575939528,activity 505,task 427,budget 980,project 11292,project 503,request for payment 21187,organizational unit 65456,1644.394098116448,0,travel permit 21185,UNKNOWN,request for payment number 21188
st_step 21193_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-05-17 10:27:58+00:00,BUDGET OWNER,request for payment 21187,travel permit number 21186,task 21189,organizational unit 65475,178.01697575939528,activity 505,task 427,budget 980,project 11292,project 503,request for payment 21187,organizational unit 65456,1644.394098116448,0,travel permit 21185,UNKNOWN,request for payment number 21188
st_step 21192_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-05-22 11:13:51+00:00,SUPERVISOR,request for payment 21187,travel permit number 21186,task 21189,organizational unit 65475,178.01697575939528,activity 505,task 427,budget 980,project 11292,project 503,request for payment 21187,organizational unit 65456,1644.394098116448,0,travel permit 21185,UNKNOWN,request for payment number 21188
st_step 21197_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-06-12 18:51:48+00:00,EMPLOYEE,request for payment 21187,travel permit number 21186,task 21189,organizational unit 65475,178.01697575939528,activity 505,task 427,budget 980,project 11292,project 503,request for payment 21187,organizational unit 65456,1644.394098116448,0,travel permit 21185,UNKNOWN,request for payment number 21188
st_step 21198_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-06-12 18:52:03+00:00,ADMINISTRATION,request for payment 21187,travel permit number 21186,task 21189,organizational unit 65475,178.01697575939528,activity 505,task 427,budget 980,project 11292,project 503,request for payment 21187,organizational unit 65456,1644.394098116448,0,travel permit 21185,UNKNOWN,request for payment number 21188
st_step 21199_0,STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018-06-13 11:15:18+00:00,BUDGET OWNER,request for payment 21187,travel permit number 21186,task 21189,organizational unit 65475,178.01697575939528,activity 505,task 427,budget 980,project 11292,project 503,request for payment 21187,organizational unit 65456,1644.394098116448,0,travel permit 21185,UNKNOWN,request for payment number 21188
st_step 21196_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-13 15:32:17+00:00,SUPERVISOR,request for payment 21187,travel permit number 21186,task 21189,organizational unit 65475,178.01697575939528,activity 505,task 427,budget 980,project 11292,project 503,request for payment 21187,organizational unit 65456,1644.394098116448,0,travel permit 21185,UNKNOWN,request for payment number 21188
rp_request for payment 21187_15,SYSTEM,Request Payment,2018-06-18 15:58:54+00:00,UNDEFINED,request for payment 21187,travel permit number 21186,task 21189,organizational unit 65475,178.01697575939528,activity 505,task 427,budget 980,project 11292,project 503,request for payment 21187,organizational unit 65456,1644.394098116448,0,travel permit 21185,UNKNOWN,request for payment number 21188
rp_request for payment 21187_16,SYSTEM,Payment Handled,2018-06-21 17:31:09+00:00,UNDEFINED,request for payment 21187,travel permit number 21186,task 21189,organizational unit 65475,178.01697575939528,activity 505,task 427,budget 980,project 11292,project 503,request for payment 21187,organizational unit 65456,1644.394098116448,0,travel permit 21185,UNKNOWN,request for payment number 21188
st_step 33475_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-05-18 12:43:33+00:00,EMPLOYEE,request for payment 33467,travel permit number 33466,task 33469,organizational unit 65461,350.7443254909953,activity 505,task 427,budget 829,project 20418,project 503,request for payment 33467,organizational unit 65456,2772.6824149485797,0,travel permit 33465,UNKNOWN,request for payment number 33468
st_step 33474_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-05-18 12:43:41+00:00,ADMINISTRATION,request for payment 33467,travel permit number 33466,task 33469,organizational unit 65461,350.7443254909953,activity 505,task 427,budget 829,project 20418,project 503,request for payment 33467,organizational unit 65456,2772.6824149485797,0,travel permit 33465,UNKNOWN,request for payment number 33468
st_step 33476_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-05-22 11:27:41+00:00,BUDGET OWNER,request for payment 33467,travel permit number 33466,task 33469,organizational unit 65461,350.7443254909953,activity 505,task 427,budget 829,project 20418,project 503,request for payment 33467,organizational unit 65456,2772.6824149485797,0,travel permit 33465,UNKNOWN,request for payment number 33468
st_step 33477_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-05-29 05:15:22+00:00,SUPERVISOR,request for payment 33467,travel permit number 33466,task 33469,organizational unit 65461,350.7443254909953,activity 505,task 427,budget 829,project 20418,project 503,request for payment 33467,organizational unit 65456,2772.6824149485797,0,travel permit 33465,UNKNOWN,request for payment number 33468
st_step 33478_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-06-26 11:25:38+00:00,EMPLOYEE,request for payment 33467,travel permit number 33466,task 33469,organizational unit 65461,350.7443254909953,activity 505,task 427,budget 829,project 20418,project 503,request for payment 33467,organizational unit 65456,2772.6824149485797,0,travel permit 33465,UNKNOWN,request for payment number 33468
st_step 33480_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-06-26 11:28:42+00:00,ADMINISTRATION,request for payment 33467,travel permit number 33466,task 33469,organizational unit 65461,350.7443254909953,activity 505,task 427,budget 829,project 20418,project 503,request for payment 33467,organizational unit 65456,2772.6824149485797,0,travel permit 33465,UNKNOWN,request for payment number 33468
st_step 33479_0,STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018-07-03 15:10:49+00:00,BUDGET OWNER,request for payment 33467,travel permit number 33466,task 33469,organizational unit 65461,350.7443254909953,activity 505,task 427,budget 829,project 20418,project 503,request for payment 33467,organizational unit 65456,2772.6824149485797,0,travel permit 33465,UNKNOWN,request for payment number 33468
st_step 33481_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-07-10 05:15:31+00:00,SUPERVISOR,request for payment 33467,travel permit number 33466,task 33469,organizational unit 65461,350.7443254909953,activity 505,task 427,budget 829,project 20418,project 503,request for payment 33467,organizational unit 65456,2772.6824149485797,0,travel permit 33465,UNKNOWN,request for payment number 33468
rp_request for payment 33467_15,SYSTEM,Request Payment,2018-07-10 09:51:38+00:00,UNDEFINED,request for payment 33467,travel permit number 33466,task 33469,organizational unit 65461,350.7443254909953,activity 505,task 427,budget 829,project 20418,project 503,request for payment 33467,organizational unit 65456,2772.6824149485797,0,travel permit 33465,UNKNOWN,request for payment number 33468
rp_request for payment 33467_16,SYSTEM,Payment Handled,2018-07-12 17:31:21+00:00,UNDEFINED,request for payment 33467,travel permit number 33466,task 33469,organizational unit 65461,350.7443254909953,activity 505,task 427,budget 829,project 20418,project 503,request for payment 33467,organizational unit 65456,2772.6824149485797,0,travel permit 33465,UNKNOWN,request for payment number 33468
st_step 52048_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-05-22 14:00:26+00:00,EMPLOYEE,request for payment 52043,travel permit number 52042,UNKNOWN,organizational unit 65465,1727.1719236572171,UNKNOWN,UNKNOWN,budget 7099,UNKNOWN,project 503,request for payment 52043,organizational unit 65464,1722.1174907702605,0,travel permit 52041,UNKNOWN,request for payment number 52044
st_step 52049_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-05-22 14:06:38+00:00,ADMINISTRATION,request for payment 52043,travel permit number 52042,UNKNOWN,organizational unit 65465,1727.1719236572171,UNKNOWN,UNKNOWN,budget 7099,UNKNOWN,project 503,request for payment 52043,organizational unit 65464,1722.1174907702605,0,travel permit 52041,UNKNOWN,request for payment number 52044
st_step 52050_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-05-22 15:27:41+00:00,BUDGET OWNER,request for payment 52043,travel permit number 52042,UNKNOWN,organizational unit 65465,1727.1719236572171,UNKNOWN,UNKNOWN,budget 7099,UNKNOWN,project 503,request for payment 52043,organizational unit 65464,1722.1174907702605,0,travel permit 52041,UNKNOWN,request for payment number 52044
st_step 52047_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-05-23 17:43:20+00:00,SUPERVISOR,request for payment 52043,travel permit number 52042,UNKNOWN,organizational unit 65465,1727.1719236572171,UNKNOWN,UNKNOWN,budget 7099,UNKNOWN,project 503,request for payment 52043,organizational unit 65464,1722.1174907702605,0,travel permit 52041,UNKNOWN,request for payment number 52044
st_step 52054_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-07-02 11:50:59+00:00,EMPLOYEE,request for payment 52043,travel permit number 52042,UNKNOWN,organizational unit 65465,1727.1719236572171,UNKNOWN,UNKNOWN,budget 7099,UNKNOWN,project 503,request for payment 52043,organizational unit 65464,1722.1174907702605,0,travel permit 52041,UNKNOWN,request for payment number 52044
st_step 52053_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-07-03 10:24:48+00:00,ADMINISTRATION,request for payment 52043,travel permit number 52042,UNKNOWN,organizational unit 65465,1727.1719236572171,UNKNOWN,UNKNOWN,budget 7099,UNKNOWN,project 503,request for payment 52043,organizational unit 65464,1722.1174907702605,0,travel permit 52041,UNKNOWN,request for payment number 52044
st_step 52051_0,STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018-07-03 16:31:06+00:00,BUDGET OWNER,request for payment 52043,travel permit number 52042,UNKNOWN,organizational unit 65465,1727.1719236572171,UNKNOWN,UNKNOWN,budget 7099,UNKNOWN,project 503,request for payment 52043,organizational unit 65464,1722.1174907702605,0,travel permit 52041,UNKNOWN,request for payment number 52044
st_step 52052_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-07-05 08:51:54+00:00,SUPERVISOR,request for payment 52043,travel permit number 52042,UNKNOWN,organizational unit 65465,1727.1719236572171,UNKNOWN,UNKNOWN,budget 7099,UNKNOWN,project 503,request for payment 52043,organizational unit 65464,1722.1174907702605,0,travel permit 52041,UNKNOWN,request for payment number 52044
rp_request for payment 52043_15,SYSTEM,Request Payment,2018-07-12 10:05:56+00:00,UNDEFINED,request for payment 52043,travel permit number 52042,UNKNOWN,organizational unit 65465,1727.1719236572171,UNKNOWN,UNKNOWN,budget 7099,UNKNOWN,project 503,request for payment 52043,organizational unit 65464,1722.1174907702605,0,travel permit 52041,UNKNOWN,request for payment number 52044
rp_request for payment 52043_16,SYSTEM,Payment Handled,2018-07-16 17:31:26+00:00,UNDEFINED,request for payment 52043,travel permit number 52042,UNKNOWN,organizational unit 65465,1727.1719236572171,UNKNOWN,UNKNOWN,budget 7099,UNKNOWN,project 503,request for payment 52043,organizational unit 65464,1722.1174907702605,0,travel permit 52041,UNKNOWN,request for payment number 52044
st_step 40248_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-05-22 16:29:51+00:00,EMPLOYEE,request for payment 40242,travel permit number 40241,task 16750,organizational unit 65462,698.27345406618,activity 505,task 427,budget 1922,project 1923,project 503,request for payment 40242,organizational unit 65459,931.8097263291163,0,travel permit 40240,UNKNOWN,request for payment number 40243
st_step 40247_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-05-22 16:30:11+00:00,ADMINISTRATION,request for payment 40242,travel permit number 40241,task 16750,organizational unit 65462,698.27345406618,activity 505,task 427,budget 1922,project 1923,project 503,request for payment 40242,organizational unit 65459,931.8097263291163,0,travel permit 40240,UNKNOWN,request for payment number 40243
st_step 40246_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-05-23 11:00:16+00:00,BUDGET OWNER,request for payment 40242,travel permit number 40241,task 16750,organizational unit 65462,698.27345406618,activity 505,task 427,budget 1922,project 1923,project 503,request for payment 40242,organizational unit 65459,931.8097263291163,0,travel permit 40240,UNKNOWN,request for payment number 40243
st_step 40249_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-05-24 09:09:54+00:00,SUPERVISOR,request for payment 40242,travel permit number 40241,task 16750,organizational unit 65462,698.27345406618,activity 505,task 427,budget 1922,project 1923,project 503,request for payment 40242,organizational unit 65459,931.8097263291163,0,travel permit 40240,UNKNOWN,request for payment number 40243
st_step 40252_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-05-24 15:57:29+00:00,EMPLOYEE,request for payment 40242,travel permit number 40241,task 16750,organizational unit 65462,698.27345406618,activity 505,task 427,budget 1922,project 1923,project 503,request for payment 40242,organizational unit 65459,931.8097263291163,0,travel permit 40240,UNKNOWN,request for payment number 40243
st_step 40253_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-05-24 15:58:11+00:00,ADMINISTRATION,request for payment 40242,travel permit number 40241,task 16750,organizational unit 65462,698.27345406618,activity 505,task 427,budget 1922,project 1923,project 503,request for payment 40242,organizational unit 65459,931.8097263291163,0,travel permit 40240,UNKNOWN,request for payment number 40243
st_step 40250_0,STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018-05-29 11:29:10+00:00,BUDGET OWNER,request for payment 40242,travel permit number 40241,task 16750,organizational unit 65462,698.27345406618,activity 505,task 427,budget 1922,project 1923,project 503,request for payment 40242,organizational unit 65459,931.8097263291163,0,travel permit 40240,UNKNOWN,request for payment number 40243
st_step 40251_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-05 05:15:37+00:00,SUPERVISOR,request for payment 40242,travel permit number 40241,task 16750,organizational unit 65462,698.27345406618,activity 505,task 427,budget 1922,project 1923,project 503,request for payment 40242,organizational unit 65459,931.8097263291163,0,travel permit 40240,UNKNOWN,request for payment number 40243
rp_request for payment 40242_15,SYSTEM,Request Payment,2018-06-05 11:36:20+00:00,UNDEFINED,request for payment 40242,travel permit number 40241,task 16750,organizational unit 65462,698.27345406618,activity 505,task 427,budget 1922,project 1923,project 503,request for payment 40242,organizational unit 65459,931.8097263291163,0,travel permit 40240,UNKNOWN,request for payment number 40243
rp_request for payment 40242_16,SYSTEM,Payment Handled,2018-06-07 17:31:38+00:00,UNDEFINED,request for payment 40242,travel permit number 40241,task 16750,organizational unit 65462,698.27345406618,activity 505,task 427,budget 1922,project 1923,project 503,request for payment 40242,organizational unit 65459,931.8097263291163,0,travel permit 40240,UNKNOWN,request for payment number 40243
st_step 38769_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-05-22 17:49:15+00:00,EMPLOYEE,request for payment 38762,travel permit number 38761,task 9021,organizational unit 65461,889.8754990875618,activity 505,task 427,budget 829,project 9018,project 503,request for payment 38762,organizational unit 65456,1477.4433573612137,0,travel permit 38760,UNKNOWN,request for payment number 38763
st_step 38767_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-05-22 17:49:37+00:00,ADMINISTRATION,request for payment 38762,travel permit number 38761,task 9021,organizational unit 65461,889.8754990875618,activity 505,task 427,budget 829,project 9018,project 503,request for payment 38762,organizational unit 65456,1477.4433573612137,0,travel permit 38760,UNKNOWN,request for payment number 38763
st_step 38768_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-05-23 11:07:55+00:00,BUDGET OWNER,request for payment 38762,travel permit number 38761,task 9021,organizational unit 65461,889.8754990875618,activity 505,task 427,budget 829,project 9018,project 503,request for payment 38762,organizational unit 65456,1477.4433573612137,0,travel permit 38760,UNKNOWN,request for payment number 38763
st_step 38766_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-05-24 08:35:56+00:00,SUPERVISOR,request for payment 38762,travel permit number 38761,task 9021,organizational unit 65461,889.8754990875618,activity 505,task 427,budget 829,project 9018,project 503,request for payment 38762,organizational unit 65456,1477.4433573612137,0,travel permit 38760,UNKNOWN,request for payment number 38763
st_step 38770_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-06-25 15:38:11+00:00,EMPLOYEE,request for payment 38762,travel permit number 38761,task 9021,organizational unit 65461,889.8754990875618,activity 505,task 427,budget 829,project 9018,project 503,request for payment 38762,organizational unit 65456,1477.4433573612137,0,travel permit 38760,UNKNOWN,request for payment number 38763
st_step 38772_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-06-25 15:45:20+00:00,ADMINISTRATION,request for payment 38762,travel permit number 38761,task 9021,organizational unit 65461,889.8754990875618,activity 505,task 427,budget 829,project 9018,project 503,request for payment 38762,organizational unit 65456,1477.4433573612137,0,travel permit 38760,UNKNOWN,request for payment number 38763
st_step 38773_0,STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018-07-03 15:04:16+00:00,BUDGET OWNER,request for payment 38762,travel permit number 38761,task 9021,organizational unit 65461,889.8754990875618,activity 505,task 427,budget 829,project 9018,project 503,request for payment 38762,organizational unit 65456,1477.4433573612137,0,travel permit 38760,UNKNOWN,request for payment number 38763
st_step 38771_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-07-04 22:34:39+00:00,SUPERVISOR,request for payment 38762,travel permit number 38761,task 9021,organizational unit 65461,889.8754990875618,activity 505,task 427,budget 829,project 9018,project 503,request for payment 38762,organizational unit 65456,1477.4433573612137,0,travel permit 38760,UNKNOWN,request for payment number 38763
rp_request for payment 38762_15,SYSTEM,Request Payment,2018-07-05 14:43:04+00:00,UNDEFINED,request for payment 38762,travel permit number 38761,task 9021,organizational unit 65461,889.8754990875618,activity 505,task 427,budget 829,project 9018,project 503,request for payment 38762,organizational unit 65456,1477.4433573612137,0,travel permit 38760,UNKNOWN,request for payment number 38763
rp_request for payment 38762_16,SYSTEM,Payment Handled,2018-07-09 17:31:27+00:00,UNDEFINED,request for payment 38762,travel permit number 38761,task 9021,organizational unit 65461,889.8754990875618,activity 505,task 427,budget 829,project 9018,project 503,request for payment 38762,organizational unit 65456,1477.4433573612137,0,travel permit 38760,UNKNOWN,request for payment number 38763
st_step 21761_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-05-23 11:21:01+00:00,EMPLOYEE,request for payment 21754,travel permit number 21753,UNKNOWN,organizational unit 65454,1340.3294708157093,UNKNOWN,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 21754,organizational unit 65460,1662.0085438114795,0,travel permit 21752,UNKNOWN,request for payment number 21755
st_step 21760_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-06-04 23:30:02+00:00,ADMINISTRATION,request for payment 21754,travel permit number 21753,UNKNOWN,organizational unit 65454,1340.3294708157093,UNKNOWN,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 21754,organizational unit 65460,1662.0085438114795,0,travel permit 21752,UNKNOWN,request for payment number 21755
st_step 21759_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-06-05 08:23:48+00:00,BUDGET OWNER,request for payment 21754,travel permit number 21753,UNKNOWN,organizational unit 65454,1340.3294708157093,UNKNOWN,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 21754,organizational unit 65460,1662.0085438114795,0,travel permit 21752,UNKNOWN,request for payment number 21755
st_step 21758_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-06-07 10:10:01+00:00,SUPERVISOR,request for payment 21754,travel permit number 21753,UNKNOWN,organizational unit 65454,1340.3294708157093,UNKNOWN,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 21754,organizational unit 65460,1662.0085438114795,0,travel permit 21752,UNKNOWN,request for payment number 21755
st_step 21762_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-08-02 14:23:39+00:00,EMPLOYEE,request for payment 21754,travel permit number 21753,UNKNOWN,organizational unit 65454,1340.3294708157093,UNKNOWN,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 21754,organizational unit 65460,1662.0085438114795,0,travel permit 21752,UNKNOWN,request for payment number 21755
st_step 21765_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-08-02 14:27:27+00:00,ADMINISTRATION,request for payment 21754,travel permit number 21753,UNKNOWN,organizational unit 65454,1340.3294708157093,UNKNOWN,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 21754,organizational unit 65460,1662.0085438114795,0,travel permit 21752,UNKNOWN,request for payment number 21755
st_step 21763_0,STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018-08-02 14:36:39+00:00,BUDGET OWNER,request for payment 21754,travel permit number 21753,UNKNOWN,organizational unit 65454,1340.3294708157093,UNKNOWN,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 21754,organizational unit 65460,1662.0085438114795,0,travel permit 21752,UNKNOWN,request for payment number 21755
st_step 21764_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-08-07 08:57:26+00:00,SUPERVISOR,request for payment 21754,travel permit number 21753,UNKNOWN,organizational unit 65454,1340.3294708157093,UNKNOWN,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 21754,organizational unit 65460,1662.0085438114795,0,travel permit 21752,UNKNOWN,request for payment number 21755
rp_request for payment 21754_15,SYSTEM,Request Payment,2018-08-07 10:24:50+00:00,UNDEFINED,request for payment 21754,travel permit number 21753,UNKNOWN,organizational unit 65454,1340.3294708157093,UNKNOWN,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 21754,organizational unit 65460,1662.0085438114795,0,travel permit 21752,UNKNOWN,request for payment number 21755
rp_request for payment 21754_16,SYSTEM,Payment Handled,2018-08-09 17:31:40+00:00,UNDEFINED,request for payment 21754,travel permit number 21753,UNKNOWN,organizational unit 65454,1340.3294708157093,UNKNOWN,UNKNOWN,budget 2308,UNKNOWN,project 503,request for payment 21754,organizational unit 65460,1662.0085438114795,0,travel permit 21752,UNKNOWN,request for payment number 21755
st_step 52082_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-05-23 14:20:02+00:00,EMPLOYEE,request for payment 52075,travel permit number 52074,task 15507,organizational unit 65454,593.0971930214457,activity 505,task 427,budget 499,project 15491,project 503,request for payment 52075,organizational unit 65460,1571.3946731869487,0,travel permit 52073,UNKNOWN,request for payment number 52076
st_step 52081_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-05-23 14:20:07+00:00,ADMINISTRATION,request for payment 52075,travel permit number 52074,task 15507,organizational unit 65454,593.0971930214457,activity 505,task 427,budget 499,project 15491,project 503,request for payment 52075,organizational unit 65460,1571.3946731869487,0,travel permit 52073,UNKNOWN,request for payment number 52076
st_step 52080_0,STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018-05-24 10:49:50+00:00,BUDGET OWNER,request for payment 52075,travel permit number 52074,task 15507,organizational unit 65454,593.0971930214457,activity 505,task 427,budget 499,project 15491,project 503,request for payment 52075,organizational unit 65460,1571.3946731869487,0,travel permit 52073,UNKNOWN,request for payment number 52076
